drum type,drum identifier
hihat,KSHMR Closed Hat - Clean 04.wav
hihat,KSHMR Closed Hat - Hard 06.wav
hihat,KSHMR Closed Hat - Openish 05.wav
hihat,KSHMR Closed Hat - Clean 09.wav
hihat,KSHMR Open Hat 04.wav
hihat,KSHMR_Closed_Hat_05_Clean.wav
hihat,KSHMR_Closed_Hat_08_Clean.wav
hihat,KSHMR_Open_Hat_04_Short.wav
hihat,KSHMR_Closed_Hat_10_Dirty.wav
hihat,KSHMR_Open_Hat_07_Short.wav
hihat,KSHMR Hi Hats Closed 16.wav
hihat,KSHMR Open Hat 09 - 808.wav
hihat,KSHMR Open Hat 08 - 808.wav
hihat,KSHMR Hi Hats Closed 15.wav
hihat,KSHMR Closed Hat - Openish 04.wav
hihat,KSHMR Closed Hat - Distorted 04.wav
hihat,KSHMR_Open_Hat_16_808.wav
hihat,KSHMR Closed Hat - Hard 01.wav
hihat,KSHMR_Open_Hat_13_Natural.wav
hihat,KSHMR Closed Hat - Organic 03.wav
hihat,KSHMR_Open_Hat_09_Natural.wav
hihat,KSHMR Closed Hat - Metallic 04.wav
hihat,KSHMR Hi Hats Closed 01.wav
hihat,KSHMR_Closed_Hat_03_Clean.wav
hihat,KSHMR Closed Hat - Organic 06.wav
hihat,KSHMR Hi Hats Closed 09.wav
hihat,KSHMR_Closed_Hat_14_Vinyl.wav
hihat,KSHMR Hi Hats Open 08.wav
hihat,KSHMR_Open_Hat_10_Natural.wav
hihat,KSHMR Hi Hats Closed 14.wav
hihat,KSHMR Closed Hat - Openish 02.wav
hihat,KSHMR Open Hat 02.wav
hihat,KSHMR_Closed_Hat_20_Wide.wav
hihat,KSHMR Closed Hat - Metallic 02.wav
hihat,KSHMR_Open_Hat_11_Natural.wav
hihat,KSHMR Hi Hats Closed 02.wav
hihat,KSHMR_Open_Hat_19_808.wav
hihat,KSHMR_Closed_Hat_04_Clean.wav
hihat,KSHMR Hi Hats Open 04.wav
hihat,KSHMR Hi Hats Open 05.wav
hihat,KSHMR_Closed_Hat_09_Dirty.wav
hihat,KSHMR Closed Hat - Clean 01.wav
hihat,KSHMR_Open_Hat_17_808.wav
hihat,KSHMR_Closed_Hat_23_Wide.wav
hihat,KSHMR Hi Hats Closed 06.wav
hihat,KSHMR Open Hat 17 - Soft Attack.wav
hihat,KSHMR Open Hat 10 - Housey.wav
hihat,KSHMR_Closed_Hat_15_Vinyl.wav
hihat,KSHMR Closed Hat - Hard 07.wav
hihat,KSHMR Open Hat 16 - Housey.wav
hihat,KSHMR_Closed_Hat_16_Vinyl.wav
hihat,KSHMR Closed Hat - Clean 05.wav
hihat,KSHMR_Open_Hat_03_Short.wav
hihat,KSHMR_Closed_Hat_22_Wide.wav
hihat,KSHMR Hi Hats Open 03.wav
hihat,KSHMR Hi Hats Closed 08.wav
hihat,KSHMR Closed Hat - Organic 05.wav
hihat,KSHMR Hi Hats Closed 03.wav
hihat,KSHMR Closed Hat - Metallic 03.wav
hihat,KSHMR Hi Hats Open 01.wav
hihat,KSHMR Hi Hats Closed 10.wav
hihat,KSHMR Hi Hats Closed 12.wav
hihat,KSHMR Closed Hat - Clean 08.wav
hihat,KSHMR_Closed_Hat_07_Clean.wav
hihat,KSHMR Hi Hats Closed 13.wav
hihat,KSHMR Open Hat 16 - Soft Attack.wav
hihat,KSHMR Hi Hats Open 07.wav
hihat,KSHMR_Open_Hat_15_808.wav
hihat,KSHMR_Closed_Hat_13_Dirty.wav
hihat,KSHMR_Open_Hat_06_Short.wav
hihat,KSHMR Closed Hat - Clean 02.wav
hihat,KSHMR_Closed_Hat_01_Clean.wav
hihat,KSHMR_Open_Hat_01_Short.wav
hihat,KSHMR_Open_Hat_02_Short.wav
hihat,KSHMR_Closed_Hat_21_Wide.wav
hihat,KSHMR Closed Hat - Clean 06.wav
hihat,KSHMR_Closed_Hat_06_Clean.wav
hihat,KSHMR Open Hat 03.wav
hihat,KSHMR Hi Hats Closed 11.wav
hihat,KSHMR Closed Hat - Metallic 01.wav
hihat,KSHMR_Closed_Hat_12_Dirty.wav
hihat,KSHMR Closed Hat - Organic 02.wav
hihat,KSHMR Closed Hat - Wide.wav
hihat,KSHMR_Closed_Hat_02_Clean.wav
hihat,KSHMR Closed Hat - Distorted 01.wav
hihat,KSHMR_Open_Hat_14_Natural.wav
hihat,KSHMR Closed Hat - Organic 04.wav
hihat,KSHMR_Closed_Hat_11_Dirty.wav
hihat,KSHMR Hi Hats Closed 07.wav
hihat,KSHMR Closed Hat - Openish 03.wav
hihat,KSHMR Closed Hat - Distorted 03.wav
hihat,KSHMR_Open_Hat_12_Natural.wav
hihat,KSHMR Open Hat 07 - 808.wav
hihat,KSHMR Closed Hat - Metallic 05.wav
hihat,KSHMR Closed Hat - Hard 03.wav
hihat,KSHMR Open Hat 01.wav
hihat,KSHMR Open Hat 14 - Housey.wav
hihat,KSHMR Open Hat 11 - Housey.wav
hihat,KSHMR Closed Hat - Distorted 02.wav
hihat,KSHMR Hi Hats Open 09.wav
hihat,KSHMR Open Hat 15 - Housey.wav
hihat,KSHMR_Open_Hat_18_808.wav
hihat,KSHMR_Open_Hat_05_Short.wav
hihat,KSHMR Closed Hat - Openish 01.wav
hihat,KSHMR Closed Hat - Hard 05.wav
hihat,KSHMR Closed Hat - Clean 03.wav
hihat,KSHMR Closed Hat - Organic 01.wav
hihat,KSHMR Closed Hat - Hard 04.wav
hihat,KSHMR_Closed_Hat_19_Wide.wav
hihat,KSHMR Open Hat 06.wav
hihat,KSHMR_Open_Hat_08_Short.wav
hihat,KSHMR Closed Hat - Hard 08.wav
hihat,KSHMR Hi Hats Closed 04.wav
hihat,KSHMR Open Hat 13 - Housey.wav
hihat,KSHMR_Closed_Hat_18_Vinyl.wav
hihat,KSHMR Hi Hats Open 02.wav
hihat,KSHMR Hi Hats Open 06.wav
hihat,KSHMR Open Hat 05.wav
hihat,KSHMR Closed Hat - Hard 02.wav
hihat,KSHMR Closed Hat - Clean 07.wav
hihat,KSHMR Open Hat 12 - Housey.wav
hihat,KSHMR_Closed_Hat_17_Vinyl.wav
hihat,KSHMR Hi Hats Closed 05.wav
tom,KSHMR_Tom_07_D.wav
tom,KSHMR_Tom_Kit_12_02_Mid.wav
tom,KSHMR Tom - Natural Tight - B.wav
tom,KSHMR Tom - Pearly - C.wav
tom,KSHMR_Tom_24_Synth_D.wav
tom,KSHMR_Tom_Kit_09_01_Hi.wav
tom,KSHMR_Tom_28_Double_Hit_E_C#.wav
tom,KSHMR Tom - Splash - C.wav
tom,KSHMR Tom 16 (E).wav
tom,KSHMR Tom 04 - A.wav
tom,KSHMR Tom - Noisy - A (F#).wav
tom,KSHMR_Tom_Kit_11_01_Hi.wav
tom,KSHMR_Tom_Kit_11_03_Low.wav
tom,KSHMR Tom 22 - F.wav
tom,KSHMR Tom - Smack - D.wav
tom,KSHMR Tom - Quick - B.wav
tom,KSHMR Tom - Dusty VHS - B.wav
tom,KSHMR Tom 09 (B).wav
tom,KSHMR Tom - Synthetic - A (C).wav
tom,KSHMR Tom - Pearly - B.wav
tom,KSHMR Tom - Flammy - B.wav
tom,KSHMR Tom - Deep - C.wav
tom,KSHMR_Tom_Kit_11_02_Mid.wav
tom,KSHMR Tom - Smack - A.wav
tom,KSHMR Tom - Quick - A.wav
tom,KSHMR Tom 10 - C.wav
tom,KSHMR_Tom_Kit_02_03_Low.wav
tom,KSHMR_Tom_02_A#.wav
tom,KSHMR_Tom_Kit_04_02_Mid.wav
tom,KSHMR_Tom_03_B.wav
tom,KSHMR Tom Flam 03 - E.wav
tom,KSHMR Tom - Dead - B (G).wav
tom,KSHMR Tom - Gigantic - A.wav
tom,KSHMR Tom 12 - C.wav
tom,KSHMR Tom 18 - F#.wav
tom,KSHMR Tom - Synthetic - B (G).wav
tom,KSHMR Tom - Smack - B.wav
tom,KSHMR Tom 25 - G#.wav
tom,KSHMR_Tom_06_C#.wav
tom,KSHMR Tom - Gigantic - C.wav
tom,KSHMR_Tom_11_E.wav
tom,KSHMR_Tom_19_Synth_A.wav
tom,KSHMR_Tom_12_F.wav
tom,KSHMR Tom - Alien - A.wav
tom,KSHMR Tom 16 - E.wav
tom,KSHMR Tom - Alien - C.wav
tom,KSHMR_Tom_Kit_01_03_Low.wav
tom,KSHMR Basic Tom 01 - F#.wav
tom,KSHMR_Tom_Kit_03_03_Low.wav
tom,KSHMR Tom - Muffled - B (G).wav
tom,KSHMR_Tom_15_F#.wav
tom,KSHMR Tom - Synthetic - C (D#).wav
tom,KSHMR Tom 13 (D).wav
tom,KSHMR Tom - Low Boy - C.wav
tom,KSHMR Tom - Synthetic - D (C).wav
tom,KSHMR_Tom_Kit_05_02_Mid.wav
tom,KSHMR Tom 08 - C#.wav
tom,KSHMR Tom - Gigantic - D.wav
tom,KSHMR Tom 06 (A#).wav
tom,KSHMR Tom - Vapor.wav
tom,KSHMR_Tom_Kit_12_03_Low.wav
tom,KSHMR Tom - Spacey - D.wav
tom,KSHMR_Tom_Kit_05_04_Lowest.wav
tom,KSHMR Tom - Deep - A.wav
tom,KSHMR Tom 08 (B).wav
tom,KSHMR Tom - Dusty VHS - A.wav
tom,KSHMR Tom - Studio - C (G).wav
tom,KSHMR_Tom_26_Synth_F.wav
tom,KSHMR Tom - Retro Baby - B.wav
tom,KSHMR Tom - Flammy - A.wav
tom,KSHMR Tom - Resonant - C (D#).wav
tom,KSHMR Tom 23 - F.wav
tom,KSHMR Tom 11 (D).wav
tom,KSHMR Tom - Big 80s - A.wav
tom,KSHMR Tom - Natural Tight - C.wav
tom,KSHMR Tom 19 - F#.wav
tom,KSHMR Tom - Pearly - A.wav
tom,KSHMR Tom 07 - B.wav
tom,KSHMR Tom - Retro Baby - C.wav
tom,KSHMR Tom - Droplet - A.wav
tom,KSHMR_Tom_Kit_10_03_Low.wav
tom,KSHMR Basic Tom 02 - G#.wav
tom,KSHMR Tom - Studio - B (A).wav
tom,KSHMR Tom - Deep - B.wav
tom,KSHMR_Tom_14_F.wav
tom,KSHMR Tom 17 - E.wav
tom,KSHMR_Tom_Kit_02_02_Mid.wav
tom,KSHMR Tom - Spacey - B.wav
tom,KSHMR_Tom_Kit_08_02_Mid.wav
tom,KSHMR_Tom_Kit_06_03_Low.wav
tom,KSHMR_Tom_Kit_09_02_Mid.wav
tom,KSHMR Tom 24 - F.wav
tom,KSHMR_Tom_Kit_06_02_Mid.wav
tom,KSHMR_Tom_Kit_03_02_Mid.wav
tom,KSHMR_Tom_04_C.wav
tom,KSHMR Tom - Punchy - A.wav
tom,KSHMR Tom 18 (F).wav
tom,KSHMR_Tom_20_Synth_C#.wav
tom,KSHMR Tom 06 - A.wav
tom,KSHMR Tom - Low Boy - A.wav
tom,KSHMR Tom 01 - A#.wav
tom,KSHMR_Tom_Kit_05_03_Low.wav
tom,KSHMR_Tom_25_Synth_E.wav
tom,KSHMR Basic Tom 03 - G#.wav
tom,KSHMR Tom 12 (D).wav
tom,KSHMR Tom - Gigantic - B.wav
tom,KSHMR Tom Flam 02 - C#.wav
tom,KSHMR Tom - Studio - A (D).wav
tom,KSHMR_Tom_Kit_09_03_Low.wav
tom,KSHMR Tom 17 (E).wav
tom,KSHMR_Tom_Kit_03_01_Hi.wav
tom,KSHMR Tom - Droplet - C.wav
tom,KSHMR Tom - Resonant - A (C).wav
tom,KSHMR Tom 03 (A).wav
tom,KSHMR Tom - Splash - A.wav
tom,KSHMR_Tom_10_D.wav
tom,KSHMR_Tom_05_C.wav
tom,KSHMR_Tom_Kit_04_01_Hi.wav
tom,KSHMR Tom - Studio - D (D).wav
tom,KSHMR_Tom_21_Synth_C#.wav
tom,KSHMR Tom - Big 80s - D.wav
tom,KSHMR_Tom_Kit_01_01_Hi.wav
tom,KSHMR Tom - Noisy - C (E).wav
tom,KSHMR Tom 09 - C.wav
tom,KSHMR Tom - Splash - D.wav
tom,KSHMR Tom - Natural Tight - A.wav
tom,KSHMR_Tom_Kit_07_03_Low.wav
tom,KSHMR_Tom_Kit_07_02_Mid.wav
tom,KSHMR Tom 14 - D.wav
tom,KSHMR Tom - Vapor - B.wav
tom,KSHMR_Tom_Kit_08_03_Low.wav
tom,KSHMR_Tom_17_G#.wav
tom,KSHMR Tom - Low Boy - B.wav
tom,KSHMR Tom - Spacey - A.wav
tom,KSHMR Tom 26 - G#.wav
tom,KSHMR Tom - Quick - C.wav
tom,KSHMR Tom - Vapor - D.wav
tom,KSHMR_Tom_09_D.wav
tom,KSHMR_Tom_Kit_12_01_Hi.wav
tom,KSHMR_Tom_Kit_02_01_Hi.wav
tom,KSHMR_Tom_Kit_04_03_Low.wav
tom,KSHMR_Tom_Kit_08_01_Hi.wav
tom,KSHMR Tom - Punchy - B.wav
tom,KSHMR_Tom_23_Synth_D.wav
tom,KSHMR_Tom_Kit_07_01_Hi.wav
tom,KSHMR Tom - Smack - C.wav
tom,KSHMR Tom - Muffled - C (E).wav
tom,KSHMR Tom 20 - F#.wav
tom,KSHMR Tom - Quick - D.wav
tom,KSHMR_Tom_18_G#.wav
tom,KSHMR Tom 03 - A.wav
tom,KSHMR Tom 19 (F#).wav
tom,KSHMR Tom - Spacey - C.wav
tom,KSHMR_Tom_Kit_12_04_Lowest.wav
tom,KSHMR Tom - Dusty VHS - C.wav
tom,KSHMR Tom - Flammy - C.wav
tom,KSHMR Tom 05 - A.wav
tom,KSHMR Tom - Vapor - A.wav
tom,KSHMR Tom - Noisy - B (B).wav
tom,KSHMR Tom - Retro Baby - D.wav
tom,KSHMR Tom 02 - A#.wav
tom,KSHMR Tom 02 (A).wav
tom,KSHMR Tom - Punchy - C.wav
tom,KSHMR_Tom_Kit_10_02_Mid.wav
tom,KSHMR Tom 07 (A#).wav
tom,KSHMR_Tom_Kit_06_01_Hi.wav
tom,KSHMR_Tom_08_D.wav
tom,KSHMR Tom - Vapor - C.wav
tom,KSHMR Tom - Big 80s - C.wav
tom,KSHMR_Tom_27_Synth_G.wav
tom,KSHMR Tom Flam 01 - B.wav
tom,KSHMR_Tom_Kit_05_01_Hi.wav
tom,KSHMR Tom - Muffled - A (C).wav
tom,KSHMR Tom - Alien - B.wav
tom,KSHMR_Tom_Kit_10_01_Hi.wav
tom,KSHMR Tom - Big 80s - B.wav
tom,KSHMR Tom 28 - G#.wav
tom,KSHMR Tom 27 - G#.wav
tom,KSHMR_Tom_22_Synth_D.wav
tom,KSHMR Tom 11 - C.wav
tom,KSHMR_Tom_01_A#.wav
tom,KSHMR Tom 14 (D#).wav
tom,KSHMR Tom 10 (D).wav
tom,KSHMR Tom - Resonant - D (C).wav
tom,KSHMR_Tom_16_G.wav
tom,KSHMR Tom - Splash - B.wav
tom,KSHMR_Tom_Kit_01_02_Mid.wav
tom,KSHMR Tom 01 (A).wav
tom,KSHMR Tom - Dead - A (C).wav
tom,KSHMR Tom - Dead - C (D).wav
tom,KSHMR Tom 05 (A#).wav
tom,KSHMR_Tom_13_F.wav
tom,KSHMR Tom - Deep - D.wav
tom,KSHMR Tom 04 (A#).wav
tom,KSHMR Tom - Droplet - B.wav
tom,KSHMR Tom - Resonant - B (G).wav
tom,KSHMR Tom 15 (D#).wav
